ox,oy,oz,ow,ax,ay,az,lx,ly,lz
-0.06002301,0.05021678,0.08207701,0.99354863,-0.00039947,0.00186421,0.00133158,-0.01133364,-0.01150168,0.10235128
-0.06005149,0.05036067,0.08136474,0.99359822,-0.00066579,0.00253,-0.00053263,-0.0112714,-0.01158259,0.10214589
-0.05832763,0.05054988,0.07506275,0.99418718,0.00079895,0.00292948,0.00039947,-0.01135853,-0.01134609,0.10155462
-0.05785361,0.05077667,0.07047058,0.99453944,-0.00119842,0.00239685,-0.00093211,-0.01113447,-0.01142077,0.10172889
-0.05982767,0.05078382,0.07378458,0.99418187,0.00026632,0.00306264,0.00106526,-0.01135853,-0.01175686,0.10208987
-0.06067635,0.05060266,0.07759973,0.99384916,-0.00066579,0.00186421,0.00119842,-0.01134609,-0.01133364,0.10199652
-0.06178105,0.05031835,0.08263303,0.99338961,-0.00066579,0.00013316,0.00066579,-0.01115315,-0.01150791,0.10203386
-0.0624246,0.05027317,0.08697143,0.99298126,-0.00053263,0.00279632,-0.00133158,-0.01126518,-0.01167595,0.10190938
-0.06133772,0.05021354,0.0869955,0.99304992,0.00079895,0.00133158,0.00039947,-0.01127762,-0.0112714,0.10213344
-0.05996593,0.05028519,0.08355998,0.99342507,0.00026632,0.00253,0.00133158,-0.01131497,-0.0114021,0.1019654
-0.05962536,0.05026252,0.08191165,0.99358386,-0.00013316,0.00346211,0.00053263,-0.01121539,-0.01141455,0.10229526
-0.05965897,0.05020092,0.08180397,0.99359387,0.00013316,0.00319579,-0.00292948,-0.01131497,-0.01155147,0.10189693
-0.05998274,0.05011252,0.08170591,0.9935869,0.00026632,0.00332895,0.00173105,-0.01115315,-0.01137098,0.10163553
-0.05979477,0.05011156,0.08007859,0.9937309,-0.00093211,0.00213053,0.00026632,-0.01132741,-0.01157637,0.10180358
-0.05987883,0.05025327,0.07910079,0.99379694,0.00026632,0.00039947,0.00093211,-0.01136476,-0.01149546,0.10178491
-0.06025072,0.05037338,0.07958031,0.99373007,0.00013316,0.00253,0.00079895,-0.01133364,-0.01177553,0.10184092
-0.06064144,0.05055012,0.08006368,0.99365842,0.00013316,0.00399474,0.00079895,-0.01144567,-0.01165105,0.10179113
-0.06069716,0.05046386,0.08113925,0.99357224,0.00026632,0.00133158,0.00026632,-0.01126518,-0.01137721,0.10215212
-0.06074744,0.0503504,0.08220342,0.99348736,-0.00079895,0.00372843,-0.00066579,-0.01120916,-0.01141455,0.10204008
-0.06069945,0.0504239,0.08212432,0.99349326,-0.00093211,0.00266316,0.00053263,-0.01150791,-0.01180665,0.10203386
-0.060412,0.0503829,0.08108907,0.99359781,0.00026632,0.00359527,0.00053263,-0.01115315,-0.01152658,0.10179735
-0.0604211,0.05040313,0.08087747,0.99361348,0.0,0.00253,0.00106526,-0.01137098,-0.01161371,0.10230771
-0.06059463,0.05032734,0.08216695,0.99350095,0.00066579,0.00213053,-0.00053263,-0.01136476,-0.01156392,0.10193428
-0.06061679,0.0504895,0.08293757,0.99342734,0.00066579,0.00253,0.00066579,-0.01138965,-0.01138965,0.10188448
-0.06062515,0.05060866,0.08256592,0.99345177,0.00119842,0.00239685,-0.00026632,-0.01138965,-0.01168217,0.10218323
-0.06056155,0.05062374,0.08234925,0.99347275,-0.00146474,0.00119842,0.0,-0.01144567,-0.01174441,0.10197785
-0.06057736,0.05050955,0.08293214,0.99342918,0.00053263,0.00306264,0.00079895,-0.01136476,-0.0115328,0.10205253
-0.06060182,0.0504602,0.08344904,0.99338681,0.00186421,0.00253,0.00093211,-0.01143322,-0.01173196,0.10187204
-0.06043984,0.05042794,0.08389287,0.993361,0.00133158,0.00066579,0.0,-0.01144567,-0.01141455,0.10197785
-0.06039158,0.05039458,0.08421607,0.99333823,0.00013316,0.00266316,0.00079895,-0.01147056,-0.01143322,0.10164798
-0.06053828,0.05021993,0.0849028,0.99327976,0.0,0.00119842,0.0,-0.01126518,-0.0112714,0.10181603
-0.06059457,0.05017514,0.08605579,0.99317932,0.00039947,0.00213053,0.00039947,-0.01143944,-0.01151413,0.10184714
-0.06060345,0.05027181,0.08625301,0.99315685,-0.00013316,0.00332895,0.00079895,-0.01129007,-0.01153903,0.10227036
-0.06021072,0.05014848,0.08455963,0.99333256,-0.00026632,0.00239685,-0.00079895,-0.01139588,-0.01154525,0.10169155
-0.05997577,0.05021201,0.08359232,0.99342543,0.00013316,0.0015979,0.00133158,-0.0111407,-0.01158882,0.10180358
-0.06080993,0.05003086,0.08518467,0.99324858,-0.00253,0.00106526,-0.00093211,-0.01153903,-0.01180665,0.10187204
-0.06097896,0.04995467,0.0861228,0.99316108,-0.00066579,0.00213053,0.00026632,-0.01126518,-0.01161371,0.10192183
-0.06018374,0.05050342,0.08324095,0.99342752,-0.00133158,0.00226369,0.0,-0.01158882,-0.01152035,0.10158575
